run_id	dataset_id	rqvae_run_id	rqvae_ablation	downstream_dataset_id	model	model_config	train_examples	val_examples	test_examples	item_count	sequence_count	training_steps_completed	training_seconds	validation_loss	test_recall_at_10	test_ndcg_at_10	test_recall_at_5	test_ndcg_at_5	test_mrr_at_10	coverage_at_10	artifact_uri	wandb_url	status	decision	notes
downstream-structured-v7-gru4rec_small-20260530T214233Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	gru4rec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"gru4rec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v7-gru4rec_small-20260530T214233Z","seed":17}	331923	4904	4904	50000	4904	17458	280.807	9.90179376602173	0.15721859706362154	0.09560338213907779	0.11460032626427406	0.08191183921828227	0.07674323195836241	3.561089708310402	/vol/auto-rec-sys/demo/runs/downstream-structured-v7-gru4rec_small-20260530T214233Z		ok	keep	
downstream-structured-v7-popularity_baseline-20260530T214233Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	popularity_baseline	{"batch_size":512,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":64,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"popularity_baseline","num_heads":4,"num_layers":1,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v7-popularity_baseline-20260530T214233Z","seed":17}	331923	4904	4904	50000	4904	0	22.613	None	0.019779771615008157	0.009340336171486753	0.008768352365415987	0.005769437418651699	0.006272090810222946	0.004678040726472207	/vol/auto-rec-sys/demo/runs/downstream-structured-v7-popularity_baseline-20260530T214233Z		ok	keep	
downstream-core-v1-t5_tiger_small-20260530T215000Z	raw-tables-001	rqvae-core-tune-core_c256_l4-20260530T183929Z	core_metadata	core_metadata_next_item_v1	t5_tiger_small	{"batch_size":128,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"core_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"t5_tiger_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"core_metadata","rqvae_run_id":"rqvae-core-tune-core_c256_l4-20260530T183929Z","run_id":"downstream-core-v1-t5_tiger_small-20260530T215000Z","seed":17}	331923	4904	4904	50000	4904	7397	290.407	2.1927142979262713	0.016924959216965744	0.009079392276860904	0.0116231647634584	0.007363292106216467	0.006697561433491287	0.00438	/vol/auto-rec-sys/demo/runs/downstream-core-v1-t5_tiger_small-20260530T215000Z		ok	keep	T5 evaluation uses unconstrained beam generation mapped exactly to semantic ID tokens; preliminary if beams do not map to catalog IDs.
downstream-core-v1-sasrec_small-20260530T215000Z	raw-tables-001	rqvae-core-tune-core_c256_l4-20260530T183929Z	core_metadata	core_metadata_next_item_v1	sasrec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"core_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"sasrec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"core_metadata","rqvae_run_id":"rqvae-core-tune-core_c256_l4-20260530T183929Z","run_id":"downstream-core-v1-sasrec_small-20260530T215000Z","seed":17}	331923	4904	4904	50000	4904	11928	280.903	nan	0.06606851549755302	0.040343133692495085	0.04995921696574225	0.035139774636299984	0.032404548279344365	0.16188	/vol/auto-rec-sys/demo/runs/downstream-core-v1-sasrec_small-20260530T215000Z		ok	keep	
downstream-core-v1-gru4rec_small-20260530T215000Z	raw-tables-001	rqvae-core-tune-core_c256_l4-20260530T183929Z	core_metadata	core_metadata_next_item_v1	gru4rec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"core_metadata_next_item_v1","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"gru4rec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"core_metadata","rqvae_run_id":"rqvae-core-tune-core_c256_l4-20260530T183929Z","run_id":"downstream-core-v1-gru4rec_small-20260530T215000Z","seed":17}	331923	4904	4904	50000	4904	17355	280.823	9.848990297317505	0.15456769983686786	0.09240948182748907	0.11276508972267536	0.07902442865182023	0.0733880991221937	0.25668	/vol/auto-rec-sys/demo/runs/downstream-core-v1-gru4rec_small-20260530T215000Z		ok	keep	
downstream-core-v1-popularity_baseline-20260530T215000Z	raw-tables-001	rqvae-core-tune-core_c256_l4-20260530T183929Z	core_metadata	core_metadata_next_item_v1	popularity_baseline	{"batch_size":512,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"core_metadata_next_item_v1","eval_limit":5000,"hidden_dim":64,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"popularity_baseline","num_heads":4,"num_layers":1,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"core_metadata","rqvae_run_id":"rqvae-core-tune-core_c256_l4-20260530T183929Z","run_id":"downstream-core-v1-popularity_baseline-20260530T215000Z","seed":17}	331923	4904	4904	50000	4904	0	17.236	None	0.019779771615008157	0.009340336171486753	0.008768352365415987	0.005769437418651699	0.006272090810222946	0.00034	/vol/auto-rec-sys/demo/runs/downstream-core-v1-popularity_baseline-20260530T215000Z		ok	keep	
downstream-structured-v8-t5_tiger_small-20260530T220324Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	t5_tiger_small	{"batch_size":128,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"t5_tiger_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v8-t5_tiger_small-20260530T220324Z","seed":17}	331923	4904	4904	50000	4904	8011	288.952	2.3521802224122084	0.01264274061990212	0.006361412054908622	0.009176182707993474	0.005236682016234518	0.004438958155312149	0.00258	/vol/auto-rec-sys/demo/runs/downstream-structured-v8-t5_tiger_small-20260530T220324Z		ok	keep	T5 evaluation uses unconstrained beam generation mapped exactly to semantic ID tokens; preliminary if beams do not map to catalog IDs.
downstream-structured-v8-sasrec_small-20260530T220324Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	sasrec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"sasrec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v8-sasrec_small-20260530T220324Z","seed":17}	331923	4904	4904	50000	4904	12130	280.874	nan	0.06464110929853181	0.03920865388523255	0.048939641109298535	0.03406833265404944	0.03133868691576684	0.16852	/vol/auto-rec-sys/demo/runs/downstream-structured-v8-sasrec_small-20260530T220324Z		ok	keep	
downstream-structured-v8-gru4rec_small-20260530T220324Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	gru4rec_small	{"batch_size":256,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":128,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"gru4rec_small","num_heads":4,"num_layers":2,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v8-gru4rec_small-20260530T220324Z","seed":17}	331923	4904	4904	50000	4904	17037	280.791	9.838228940963745	0.1523246329526917	0.09230837578585849	0.11194942903752039	0.07921179239591135	0.07381955773065063	0.26296	/vol/auto-rec-sys/demo/runs/downstream-structured-v8-gru4rec_small-20260530T220324Z		ok	keep	
downstream-structured-v8-popularity_baseline-20260530T220324Z	raw-tables-001	rqvae-feature-src-structured-20260530T193623Z	structured_metadata	structured_metadata_next_item_v7	popularity_baseline	{"batch_size":512,"campaign_id":"demo","dataset_id":"raw-tables-001","downstream_dataset_id":"structured_metadata_next_item_v7","eval_limit":5000,"hidden_dim":64,"learning_rate":0.001,"max_history":20,"max_items":50000,"max_seconds":300,"min_sequence_len":3,"model":"popularity_baseline","num_heads":4,"num_layers":1,"output_root":"/vol/auto-rec-sys","rqvae_ablation":"structured_metadata","rqvae_run_id":"rqvae-feature-src-structured-20260530T193623Z","run_id":"downstream-structured-v8-popularity_baseline-20260530T220324Z","seed":17}	331923	4904	4904	50000	4904	0	17.362	None	0.019779771615008157	0.009340336171486753	0.008768352365415987	0.005769437418651699	0.006272090810222946	0.00034	/vol/auto-rec-sys/demo/runs/downstream-structured-v8-popularity_baseline-20260530T220324Z		ok	keep	
